                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.51975,                  0.631,                 1.1592,                0.97229,                0.95902,                0.97487,                0.86708,                0.50147,                0.39162,                 1.1187,              0.0010273,              0.0010273,              0.0010273
                     57,                0.51912,                0.59943,                 1.1648,                0.94909,                0.95103,                0.96977,                0.85919,                0.51971,                0.45766,                 1.1139,              0.0010231,              0.0010231,              0.0010231
                     58,                0.53728,                0.60525,                 1.1669,                0.96642,                0.95063,                0.97716,                0.88524,                0.48116,                0.39072,                  1.079,               0.001019,               0.001019,               0.001019
                     59,                0.51743,                0.57968,                 1.1547,                0.95921,                0.97452,                0.98046,                0.87812,                0.48738,                0.42199,                 1.0892,              0.0010149,              0.0010149,              0.0010149
                     60,                0.53586,                0.59403,                 1.1641,                0.95463,                0.96801,                0.97131,                0.86629,                0.49514,                0.44873,                 1.1035,              0.0010107,              0.0010107,              0.0010107
                     61,                0.52256,                0.58279,                 1.1543,                0.95964,                0.97198,                0.97774,                0.88091,                0.49614,                0.39932,                 1.0823,              0.0010066,              0.0010066,              0.0010066
                     62,                0.52149,                0.58887,                 1.1507,                0.97581,                0.97623,                0.97998,                0.88392,                0.48217,                0.39285,                 1.0726,              0.0010025,              0.0010025,              0.0010025
                     63,                  0.535,                0.58512,                 1.1571,                0.97069,                0.96265,                0.98061,                0.88624,                0.47313,                0.38794,                 1.0631,             0.00099837,             0.00099837,             0.00099837
                     64,                0.52678,                0.59708,                 1.1564,                0.97934,                0.97131,                0.98242,                0.89267,                0.48044,                0.37134,                 1.0615,             0.00099425,             0.00099425,             0.00099425
                     65,                0.51149,                0.56542,                 1.1506,                0.97189,                0.95924,                0.97965,                0.88599,                0.47845,                 0.4023,                 1.0736,             0.00099013,             0.00099013,             0.00099013
                     66,                0.51498,                0.55454,                 1.1569,                0.97846,                0.96997,                0.98338,                0.88793,                0.47635,                0.38551,                 1.0685,               0.000986,               0.000986,               0.000986
                     67,                0.49713,                 0.5558,                 1.1355,                0.99107,                 0.9706,                0.97963,                0.87493,                0.47936,                0.39404,                 1.0872,             0.00098187,             0.00098187,             0.00098187
